slot,family,sl,rr,n_train,evc_train,evs_train,n_oos,evc_oos,evs_oos,n_2026,evc_2026,evs_2026,n_full,evc_full,evs_full,pf_full,days_full,robust_score,freq_score
LON_OPEN,FALL_CONT_G10,2.5,0.3,70,0.06363215092596375,0.05687679781751703,26,0.08622586085849582,0.07933879128774375,5,0.026421917507696634,0.019632876261544963,96,0.06975128069935788,0.06296025438237011,1.4999999999999998,96,0.2588808636790647,9.174404318395323
LON_OPEN,DI_CONT_A20_G10,2.25,0.3,70,0.062130961346308945,0.05462501344803483,26,0.08469540095388425,0.07704310143082638,5,0.024913241675218478,0.01736986251282775,96,0.06824216374002726,0.06069657894337422,1.4999999999999998,96,0.24409891977170423,9.100494598858521
LON_OPEN,FALL_CONT_G10,2.25,0.3,70,0.062130961346308945,0.05462501344803483,26,0.08469540095388425,0.07704310143082638,5,0.024913241675218478,0.01736986251282775,96,0.06824216374002726,0.06069657894337422,1.4999999999999998,96,0.24409891977170423,9.100494598858521
LON_OPEN,DI_CONT_A20_G10,2.0,0.3,70,0.07882590294316895,0.07038171155761061,26,0.08278232607311978,0.0741734891096797,5,0.0230273968846208,0.014541095326931241,96,0.07989743420753065,0.07140865131129599,1.6199999999999999,96,0.2256214898875038,9.008107449437519
LON_OPEN,FALL_CONT_G10,2.0,0.3,70,0.07882590294316895,0.07038171155761061,26,0.08278232607311978,0.0741734891096797,5,0.0230273968846208,0.014541095326931241,96,0.07989743420753065,0.07140865131129599,1.6199999999999999,96,0.2256214898875038,9.008107449437519
LON_H1,PULLBACK_DI_A20_G5,2.0,0.75,79,0.026228906566340894,0.018836841772890838,31,0.08764123872383148,0.07889172536575671,4,0.10878209522607052,0.09950461425917878,110,0.04353601835617915,0.03576139987633486,1.1586028130054904,110,0.2750910928460652,8.675455464230327
LON_OPEN,DI_CONT_A20_G10,3.0,0.3,70,0.014534542311139566,0.008905081387433983,26,0.0385215507154132,0.03278232607311979,5,0.02868493125641388,0.0230273968846208,96,0.021031023753963683,0.015371835156473895,1.1625244937729473,96,0.1424088492287379,8.59204424614369
LON_OPEN,FALL_CONT_G10,3.0,0.3,70,0.014534542311139566,0.008905081387433983,26,0.0385215507154132,0.03278232607311979,5,0.02868493125641388,0.0230273968846208,96,0.021031023753963683,0.015371835156473895,1.1625244937729473,96,0.1424088492287379,8.59204424614369
LON_H1,PULLBACK_DI_A20_G5,2.25,0.6,79,0.04110893049338397,0.03453820623253946,31,0.023993532568563087,0.016216187361385463,4,0.03558408464539595,0.02733743489704779,110,0.03628550016911627,0.029374728187032434,1.1533403348335725,110,0.2516462925676767,8.558231462838384
LON_H1,PULLBACK_DI_A20_G5,1.5,0.75,79,0.02221911582671024,0.012363029435443476,31,0.025457135502743068,0.013791117691976627,4,0.540876126968094,0.5285061523455716,110,0.023131648644501304,0.012765490671375553,1.1117231635709526,110,0.23303605277571152,8.465180263878558
LON_OPEN,DI_CONT_A20_G10,3.0,0.6,70,0.0052712473684892736,-0.00035821355521632774,26,0.2370473476504897,0.2313081230081963,5,0.09925764428990638,0.0936001099181133,96,0.06804394119486439,0.06238475259737459,1.2808826112472145,96,0.051647465443149174,8.138237327215746
LON_OPEN,FALL_CONT_G10,3.0,0.6,70,0.0052712473684892736,-0.00035821355521632774,26,0.2370473476504897,0.2313081230081963,5,0.09925764428990638,0.0936001099181133,96,0.06804394119486439,0.06238475259737459,1.2808826112472145,96,0.051647465443149174,8.138237327215746
LON_OPEN,DI_CONT_A20_G10,2.25,0.75,70,0.0027276991635805134,-0.004778248734693567,26,0.34362723276475554,0.3359749332416977,5,0.16901019238654177,0.16146681322415105,96,0.09505465618056537,0.08750907138391235,1.3288927822832814,96,0.026725884490354884,8.013629422451775
LON_OPEN,FALL_CONT_G10,2.25,0.75,70,0.0027276991635805134,-0.004778248734693567,26,0.34362723276475554,0.3359749332416977,5,0.16901019238654177,0.16146681322415105,96,0.09505465618056537,0.08750907138391235,1.3288927822832814,96,0.026725884490354884,8.013629422451775
LON_H1,PULLBACK_DI_A20_G5,3.0,1.5,79,0.009019131401144865,0.004091088205511479,31,0.1351222323516941,0.1292892234463109,4,0.32506121456117987,0.31887622724991876,110,0.04455727803266329,0.03937419904610041,1.1471703634598398,110,0.09459344816329991,7.7729672408165
LON_H1,PULLBACK_DI_A20_G5,2.0,1.0,79,0.007524326720290121,0.00013226192684007786,31,0.19866837862602357,0.1899188652679488,4,0.23378209522607052,0.22450461425917878,110,0.061392195893724105,0.05361757741387983,1.1835006821016876,110,0.07891580440763377,7.694579022038169
LON_H1,PULLBACK_DI_A20_G5,2.25,1.5,79,0.006735196186805926,0.0001644719259613864,31,0.2224865265125103,0.21470918130533273,4,0.48558408464539604,0.47733743489704783,110,0.0675378438240499,0.06062707184196602,1.1865116468313366,110,0.07063933354883921,7.653196667744196
LON_H1,PULLBACK_DI_A20_G5,2.0,1.5,79,0.004770559199817529,-0.002621505593632551,31,0.20811316259085114,0.1993636492327763,4,0.4837820952260706,0.4745046142591787,110,0.06207620197365426,0.05430158349380998,1.1665241333427983,110,0.05003404699488142,7.550170234974407
LON_H1,PULLBACK_DI_A20_G5,3.0,1.0,79,0.004139859842692164,-0.0007881833529411966,31,0.09437769746002216,0.08854468855463897,4,0.23918806348404703,0.23300307617278587,110,0.029570523171212438,0.024387444184649568,1.1088550122635183,110,0.043419216331998335,7.517096081659991
