symbol,signal,R,reason
USDJPY,2026-07-17 07:00:00+00:00,0.4751515151514639,time
USDJPY,2026-07-23 07:00:00+00:00,0.4382489606260172,time
USDJPY,2026-07-27 07:00:00+00:00,1.4715909090907602,time
USDJPY,2026-07-29 07:00:00+00:00,-1.0,SL
EURGBP,2026-01-05 08:00:00+00:00,3.3333333333333335,TP
EURGBP,2026-01-06 08:00:00+00:00,-1.0,SL
EURGBP,2026-01-08 08:00:00+00:00,-1.0,SL
EURGBP,2026-01-09 08:00:00+00:00,-1.0,SL
EURGBP,2026-01-15 08:00:00+00:00,-1.0,SL
EURGBP,2026-01-20 08:00:00+00:00,3.3333333333333335,TP
EURGBP,2026-01-23 08:00:00+00:00,1.283384750991613,time
EURGBP,2026-01-29 08:00:00+00:00,-0.27317073170736234,time
EURGBP,2026-02-05 08:00:00+00:00,-1.0,SL
EURGBP,2026-02-09 08:00:00+00:00,-1.0,SL
EURGBP,2026-02-11 08:00:00+00:00,0.29917053282725187,time
EURGBP,2026-02-17 08:00:00+00:00,-1.0,SL
EURGBP,2026-03-18 08:00:00+00:00,0.3801765105227031,time
EURGBP,2026-03-19 08:00:00+00:00,-1.0,SL
EURGBP,2026-04-28 07:00:00+00:00,2.025734401553695,time
EURGBP,2026-05-01 07:00:00+00:00,0.08825847123716192,time
EURGBP,2026-05-04 07:00:00+00:00,-1.0,SL
EURGBP,2026-05-11 07:00:00+00:00,-1.0,SL
EURGBP,2026-05-12 07:00:00+00:00,-1.0,SL
EURGBP,2026-05-18 07:00:00+00:00,1.784313725490297,time
EURGBP,2026-06-09 07:00:00+00:00,-0.5607378129117832,time
EURGBP,2026-06-15 07:00:00+00:00,1.4137447405329038,time
EURGBP,2026-06-17 07:00:00+00:00,0.3105662580268953,time
EURGBP,2026-06-18 07:00:00+00:00,1.5772716140092842,time
EURGBP,2026-06-22 07:00:00+00:00,-1.0,SL
EURGBP,2026-06-24 07:00:00+00:00,-1.0,SL
EURGBP,2026-06-26 07:00:00+00:00,-0.18524173027984303,time
EURGBP,2026-07-01 07:00:00+00:00,1.317014638828872,time
EURGBP,2026-07-02 07:00:00+00:00,-1.0,SL
EURGBP,2026-07-06 07:00:00+00:00,-1.0,SL
EURGBP,2026-07-13 07:00:00+00:00,-1.0,SL
EURGBP,2026-07-17 07:00:00+00:00,0.02583621683970295,time
EURGBP,2026-07-20 07:00:00+00:00,-1.0,SL
EURGBP,2026-08-06 07:00:00+00:00,0.584995251662003,time
XAUUSD,2026-01-05 08:00:00+00:00,-1.0,SL
XAUUSD,2026-01-12 08:00:00+00:00,-1.0,SL
XAUUSD,2026-01-20 08:00:00+00:00,-0.2546842594579526,time
XAUUSD,2026-01-26 08:00:00+00:00,-1.0,SL
XAUUSD,2026-01-30 08:00:00+00:00,-0.09576027824223887,time
XAUUSD,2026-02-20 08:00:00+00:00,-0.20838488491796786,time
XAUUSD,2026-03-03 08:00:00+00:00,3.3333333333333335,TP
XAUUSD,2026-03-05 08:00:00+00:00,-0.19944422156322955,time
XAUUSD,2026-03-13 08:00:00+00:00,1.0055056299506238,time
XAUUSD,2026-03-23 08:00:00+00:00,3.3333333333333335,TP
XAUUSD,2026-04-06 07:00:00+00:00,-0.5513788732141283,time
XAUUSD,2026-04-21 07:00:00+00:00,0.09112413963949655,time
XAUUSD,2026-04-23 07:00:00+00:00,-1.0,SL
XAUUSD,2026-04-29 07:00:00+00:00,0.20377868525781628,time
XAUUSD,2026-05-01 07:00:00+00:00,-0.11731396721808385,time
XAUUSD,2026-05-04 07:00:00+00:00,3.3333333333333335,TP
XAUUSD,2026-05-06 07:00:00+00:00,0.4075198320737911,time
XAUUSD,2026-05-11 07:00:00+00:00,-1.0,SL
XAUUSD,2026-06-03 07:00:00+00:00,-0.4348332669285253,time
XAUUSD,2026-06-15 07:00:00+00:00,0.7265621600667843,time
XAUUSD,2026-06-22 07:00:00+00:00,-1.0,SL
XAUUSD,2026-06-23 07:00:00+00:00,-1.0,SL
XAUUSD,2026-07-01 07:00:00+00:00,2.039952488021909,time
XAUUSD,2026-07-13 07:00:00+00:00,-1.0,SL
XAUUSD,2026-07-23 07:00:00+00:00,0.20095969894840765,time
XAUUSD,2026-07-27 07:00:00+00:00,-1.0,SL
XAUUSD,2026-08-05 07:00:00+00:00,-1.0,SL
