n,ev,pf,wr,totalR,maxDD,annual_freq,ytd2026,pos_years,recent_pf,recent_ev,old_pf,old_ev,day_policy,combo,windows,distance260,quality
3463,0.053947328321482226,1.1207059036386524,0.46404851285012994,186.81959797729294,52.5740439082679,238.64285714285714,122,10,1.224058815816751,0.09532598001570554,1.084399727831142,0.03838615870776025,MonFri,LON_OPEN+LON_H1+LON_H3,3,21.35714285714286,True
3423,0.005876237519610181,1.0130136178346065,0.44639205375401697,20.11436102962565,58.27326963812487,235.42857142857142,127,9,1.0614559882812533,0.027315482011945696,0.9801262846801995,-0.009112582021565443,MonFri,LON_H1+LON_H2+LON_H3,3,24.571428571428584,True
3412,0.05219939235132924,1.113125010024209,0.4575029308323564,178.10432670273536,52.17603238920307,234.71428571428572,126,10,1.2430884262248354,0.106589264413822,1.0682747596355657,0.03219645284684655,MonFri,LON_OPEN+LON_H1+LON_H2,3,25.285714285714278,True
3144,-0.007710359900305696,0.9786710502900081,0.4672391857506361,-24.24137152656111,60.22856952292037,215.14285714285714,132,5,1.0001885388950367,6.836223564639987e-05,1.0537201042577338,0.01827591986237025,MonThu,NY_OPEN+NY_H1+NY_H2,3,44.85714285714286,False
3052,0.04560891826869818,1.1186915508917796,0.4813237221494102,139.19841855606685,34.60891256742298,209.57142857142858,118,10,1.2458907357642934,0.0894983911502286,1.1506565872017598,0.05570193096081205,MonThu,LON_OPEN+NY_OPEN+NY_H2,3,50.428571428571416,True
3053,-0.013870460549198391,0.9635993280233258,0.46511627906976744,-42.34651605670269,76.46290194142901,209.35714285714286,122,5,0.9931263504544687,-0.002606214337020283,1.011423545923646,0.004197997873677931,MonThu,LON_H3+NY_OPEN+NY_H2,3,50.64285714285714,False
3032,0.04113131947365654,1.109958874644556,0.4746042216358839,124.71016064412662,30.68844605440211,208.14285714285714,118,9,1.2411784604354321,0.08549233426148396,1.068898733200131,0.02515383441244707,MonThu,LON_OPEN+NY_H1+NY_H2,3,51.85714285714286,True
3033,-0.01873879787953939,0.9494677431479541,0.45829212001318825,-56.83477396864297,72.69537425912067,207.92857142857142,122,6,0.9801091768679464,-0.007359807247796095,0.9289964600961322,-0.025773880482999074,MonThu,LON_H3+NY_H1+NY_H2,3,52.071428571428584,False
3030,-0.005622872870709367,0.9855962299516767,0.4636963696369637,-17.03730479824938,58.63550987004133,207.85714285714286,120,7,1.0204663261363707,0.007977598288970798,1.0456115644838262,0.017160397288751638,MonThu,LON_H2+NY_OPEN+NY_H2,3,52.14285714285714,False
3021,0.01865939632040009,1.048680169377952,0.469049983449189,56.37003628392867,42.1247359219622,207.14285714285714,121,7,1.1568226696738366,0.05817870386734095,1.0873057051409285,0.03231827610481629,MonThu,LON_H1+NY_OPEN+NY_H2,3,52.85714285714286,True
3010,-0.01047360887381716,0.9724478630128066,0.4568106312292359,-31.525562710189654,66.59813585688012,206.42857142857142,120,7,1.0085478581519447,0.0032533851252605672,0.9658419242743814,-0.012701048308206916,MonThu,LON_H2+NY_H1+NY_H2,3,53.571428571428584,False
3000,0.03964837309637276,1.0980554762896768,0.475,118.94511928911828,25.155261362065787,205.85714285714286,118,11,1.1321695148945947,0.05268019613805374,1.122789441730007,0.04808132086474067,MonThu,LON_OPEN+NY_OPEN+NY_H1,3,54.14285714285714,True
3001,0.013955940810392663,1.0374163121829505,0.46217927357547484,41.88177837198838,40.35849701854901,205.71428571428572,121,8,1.1490707855587017,0.05390381032448718,1.006146737006049,0.0022475485122125747,MonThu,LON_H1+NY_H1+NY_H2,3,54.28571428571428,True
3001,-0.020859651890586903,0.9479899041985075,0.45851382872375873,-62.59981532365129,73.59997565183785,205.64285714285714,122,6,0.8986143944130676,-0.041925612356227125,0.9900798682528719,-0.0038536389584602052,MonThu,LON_H3+NY_OPEN+NY_H1,3,54.35714285714286,False
2978,-0.01252202957192678,0.9695114285875527,0.4570181329751511,-37.290604065197954,57.27641713177797,204.14285714285714,120,6,0.9258186866060812,-0.0315311142732005,1.0233556673820257,0.00928058006930018,MonThu,LON_H2+NY_OPEN+NY_H1,3,55.85714285714286,False
