dt,day,R,R_comm,R_stress,setup,priority
2013-08-15 06:00:00+00:00,2013-08-15,1.5,1.4854188011739429,1.4781282017609143,BASE,0
2013-08-20 08:00:00+00:00,2013-08-20,0.3,0.2858042856345281,0.2787064284517921,LON_H2|RANGE_DI_CONT_G5|2.0|0.3,2
2013-08-22 07:00:00+00:00,2013-08-22,-1.0,-1.0112223243052312,-1.0168334864578468,LON_H1|RISE_CANDLE|2.25|1.5,1
2013-08-29 06:00:00+00:00,2013-08-29,0.5113024831255044,0.5008142270613921,0.495570099029336,BASE,0
2013-09-02 06:00:00+00:00,2013-09-02,0.6,0.5885669761268721,0.5828504641903083,BASE,0
2013-09-03 06:00:00+00:00,2013-09-03,-1.0,-1.0171755547072874,-1.025763332060931,BASE,0
2013-09-05 06:00:00+00:00,2013-09-05,1.5,1.4840001986710798,1.4760002980066198,BASE,0
2013-09-09 06:00:00+00:00,2013-09-09,1.5,1.4867832636071685,1.480174895410753,BASE,0
2013-09-11 08:00:00+00:00,2013-09-11,0.3,0.2837957791449264,0.27569366871738954,LON_H2|RANGE_DI_CONT_G5|2.0|0.3,2
2013-09-16 06:00:00+00:00,2013-09-16,-1.0,-1.0107059835970824,-1.0160589753956235,BASE,0
2013-09-17 06:00:00+00:00,2013-09-17,0.06191841136558144,0.04734937339720963,0.04006485441302373,BASE,0
2013-09-19 06:00:00+00:00,2013-09-19,-0.37986390040367796,-0.3904894640513346,-0.39580224587516294,BASE,0
2013-09-26 06:00:00+00:00,2013-09-26,-1.0,-1.0158516300356637,-1.0237774450534958,BASE,0
2013-10-01 07:00:00+00:00,2013-10-01,0.8033549270228677,0.7923122476136185,0.786790907908994,LON_H1|RISE_CANDLE|2.25|1.5,1
2013-10-02 07:00:00+00:00,2013-10-02,1.5,1.4860101943225312,1.4790152914837966,LON_H1|RISE_CANDLE|2.25|1.5,1
2013-10-09 06:00:00+00:00,2013-10-09,1.5,1.485432900748458,1.478149351122687,BASE,0
